الفئة: جميع الفئات

الشهر,Action movies: (في جميع أنحاء العالم),Comedy movies: (في جميع أنحاء العالم),Horror movies: (في جميع أنحاء العالم),Family movies: (في جميع أنحاء العالم),Romance movies: (في جميع أنحاء العالم)
2020-12,19,20,26,13,7
2021-01,19,20,27,12,7
2021-02,18,18,25,12,7
2021-03,16,16,23,9,6
2021-04,17,17,26,10,6
2021-05,19,20,30,12,7
2021-06,17,17,28,11,7
2021-07,18,17,29,11,7
2021-08,17,16,28,10,7
2021-09,15,15,27,10,6
2021-10,15,14,40,15,6
2021-11,15,14,24,11,6
