الفئة: جميع الفئات

بلد,Action movies: (1‏/1‏/2004 - 27‏/11‏/2021),Comedy movies: (1‏/1‏/2004 - 27‏/11‏/2021),Horror movies: (1‏/1‏/2004 - 27‏/11‏/2021),Family movies: (1‏/1‏/2004 - 27‏/11‏/2021),Romance movies: (1‏/1‏/2004 - 27‏/11‏/2021)
هنغاريا,,,,,
بوليفيا,,,,,
كوبا,,,,,
إيران,21‎%‎,34‎%‎,26‎%‎,7‎%‎,12‎%‎
التشيك,,,,,
سويسرا,22‎%‎,32‎%‎,29‎%‎,9‎%‎,8‎%‎
كوستاريكا,,,,,
أذربيجان,,,,,
إندونيسيا,28‎%‎,22‎%‎,25‎%‎,9‎%‎,16‎%‎
النمسا,,,,,
مايوت,,,,,
بنما,,,,,
هندوراس,,,,,
تايلاند,39‎%‎,24‎%‎,24‎%‎,7‎%‎,6‎%‎
كوريا الجنوبية,,,,,
جمهورية الدومينيكان,,,,,
قيرغيزستان,,,,,
طاجيكستان,,,,,
نيكاراغوا,,,,,
ألمانيا,22‎%‎,27‎%‎,35‎%‎,9‎%‎,7‎%‎
المكسيك,19‎%‎,22‎%‎,43‎%‎,10‎%‎,6‎%‎
السلفادور,,,,,
باراغواي,,,,,
إيطاليا,27‎%‎,26‎%‎,34‎%‎,8‎%‎,5‎%‎
غواتيمالا,,,,,
أورغواي,,,,,
تركيا,23‎%‎,26‎%‎,32‎%‎,13‎%‎,6‎%‎
أوزبكستان,,,,,
بولندا,,,,,
إسبانيا,20‎%‎,31‎%‎,31‎%‎,11‎%‎,7‎%‎
تشيلي,,,,,
تايوان,,,,,
الصين,,,,,
الأرجنتين,,,,,
فيتنام,28‎%‎,22‎%‎,31‎%‎,9‎%‎,10‎%‎
الإكوادور,,,,,
فرنسا,23‎%‎,28‎%‎,28‎%‎,11‎%‎,10‎%‎
كولومبيا,,,,,
أوكرانيا,,,,,
البرازيل,17‎%‎,18‎%‎,47‎%‎,10‎%‎,8‎%‎
بيرو,,,,,
كازاخستان,,,,,
روسيا,,,,,
فنزويلا,,,,,
بيلاروس,,,,,
اليابان,27‎%‎,29‎%‎,29‎%‎,7‎%‎,8‎%‎
كيريباتي,,,,,
جزر مارشال,,,,,
مونتسرات,,,,,
جزر فيرجن البريطانية,,,,,
جزر توركس وكايكوس,,,,,
سانت كيتس ونيفيس,,,,,
جزر فوكلاند - جزر مالفيناس,,,,,
أنغويلا,,,,,
هولندا الكاريبية,,,,,
ساو تومي وبرينسيبي,,,,,
إريتريا,,,,,
جزر كوك,,,,,
جزر فيرجن التابعة للولايات المتحدة,,,,,
سان مارتن,,,,,
جزر فارو,,,,,
الصحراء الغربية,,,,,
جزر آلاند,,,,,
غرينلاند,,,,,
غويانا الفرنسية,,,,,
أندورا,,,,,
بولينيزيا الفرنسية,,,,,
موناكو,,,,,
ليختنشتاين,,,,,
جزر المارتينيك,,,,,
غوادلوب,,,,,
كاليدونيا الجديدة,,,,,
روينيون,,,,,
تركمانستان,,,,,
أنتاركتيكا,,,,,
الأقاليم الجنوبية الفرنسية,,,,,
سان بارتليمي,,,,,
جزيرة بوفيه,,,,,
جزر كوكوس (كيلينغ),,,,,
جزيرة كريسماس,,,,,
جزيرة هيرد وجزر ماكدونالد,,,,,
الإقليم البريطاني في المحيط الهندي,,,,,
جزيرة نورفولك,,,,,
نيوي,,,,,
ناورو,,,,,
جزر بيتكيرن,,,,,
كوريا الشمالية,,,,,
جورجيا الجنوبية وجزر ساندويتش الجنوبية,,,,,
سفالبارد وجان ماين,,,,,
سان مارينو,,,,,
سان بيير ومكويلون,,,,,
توكيلو,,,,,
توفالو,,,,,
جزر الولايات المتحدة النائية,,,,,
الفاتيكان,,,,,
جزر والس وفوتونا,,,,,
